0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
3.3,10.4,144.0,234.0,1.47,255.0,0.0,3153.0,5.7,91.191,90.13916,-1.0518398437500025,1.0518398437500025,2014 Pagani Huayra
5.8,13.5,105.0,120.0,1.05,,0.0,3870.0,18.3,112.59899999999999,111.55354,-1.045456909179677,1.045456909179677,1970 Ford Mustang Boss 429
2.9,10.9,132.0,202.0,1.4,245.0,0.0,3345.0,7.3,90.57900000000001,91.61493,1.0359291992187423,1.0359291992187423,2022 Lamborghini Huracan STO
4.2,12.2,117.0,185.0,1.37,255.0,0.0,3050.0,11.4,96.779,95.74697,-1.0320288696289026,1.0320288696289026,2016 Porsche Cayman GT4 981
5.1,13.4,103.0,144.0,1.17,264.6,2.0,2751.0,15.3,96.674,97.7038,1.0297963867187434,1.0297963867187434,1986 Ford RS200
2.9,,,205.0,1.81,218.9,0.0,2976.0,5.3,86.612,85.58622,-1.0257802124023385,1.0257802124023385,2016 Aston Martin Vulcan
4.1,12.4,118.0,196.0,1.11,275.8,0.0,3908.0,10.7,100.53399999999999,99.51094,-1.0230594482421793,1.0230594482421793,2008 BMW M6 E63 Coupe
3.6,11.1,131.0,208.0,1.31,240.6,0.0,3232.0,7.5,91.274,92.28707,1.0130712280273428,1.0130712280273428,2005 Porsche Carrera GT
5.4,14.0,98.0,158.0,1.06,320.6,0.0,3067.0,19.9,107.017,108.0255,1.0084974365234416,1.0084974365234416,2009 Pontiac Solstice GXP Coupe
3.1,11.0,132.0,211.0,1.07,265.0,0.0,3895.0,7.1,95.386,96.38581,0.9998108520507856,0.9998108520507856,2014 Ferrari F12 Berlinetta
1.9,8.6,168.0,263.0,1.31,253.4,2.0,,3.3,84.439,85.43378,0.994776855468757,0.994776855468757,2022 Pininfarina Battista
4.3,12.6,117.0,195.0,1.09,273.9,0.0,4110.0,11.7,101.543,100.551315,-0.9916846923828189,0.9916846923828189,2008 BMW M5 E60
7.0,15.2,93.0,150.0,1.04,293.8,0.0,3341.0,23.7,107.306,108.29457,0.9885709228515651,0.9885709228515651,1990 Nissan 300ZX Z32 Coupe
,,,,1.0,298.6,1.0,2541.0,29.7,112.241,111.25264,-0.9883602294921872,0.9883602294921872,2000 Toyota Celica GT-S
4.7,13.1,105.0,165.0,1.14,270.6,2.0,3417.0,17.3,99.86500000000001,100.84858,0.9835794067382722,0.9835794067382722,1999 Nissan Skyline GT-R R34
3.7,11.7,125.0,202.0,1.28,261.1,0.0,2976.0,8.6,96.993,96.013504,-0.9794959716796825,0.9794959716796825,2007 Ascari KZ1
2.9,10.4,142.0,211.0,1.66,222.7,0.0,3219.0,6.0,85.326,86.30172,0.9757196655273503,0.9757196655273503,2010 Ferrari 599XX
7.1,15.3,91.0,158.0,0.97,,0.0,3350.0,21.0,111.96600000000001,110.99454,-0.9714626464843832,0.9714626464843832,1985 Ferrari 308 GTB QV
2.7,10.4,133.0,205.0,1.34,257.9,2.0,3460.0,7.4,90.346,91.315346,0.9693457641601526,0.9693457641601526,2018 Lamborghini Huracan Performante
4.2,12.5,117.0,190.0,1.17,269.2,0.0,3737.0,11.1,100.34899999999999,99.3823,-0.9666986694335833,0.9666986694335833,2010 Aston Martin DBS
2.8,,,,1.27,245.0,0.0,3329.0,5.5,89.51,90.4594,0.9493963623046824,0.9493963623046824,2015 W Motors Lykan HyperSport
2.8,10.8,126.0,207.0,1.19,265.2,2.0,3551.0,8.9,95.89,94.950775,-0.9392248535156256,0.9392248535156256,2014 Porsche 911 Turbo S 991
3.8,12.1,118.0,185.0,1.19,280.4,0.0,2867.0,10.4,97.14,98.06552,0.9255212402343744,0.9255212402343744,1996 Porsche 911 GT2 993
3.8,12.1,116.0,164.0,1.16,272.0,0.0,3345.0,10.9,100.011,99.08771,-0.9232924804687457,0.9232924804687457,2021 Toyota Supra 3.0 A90
3.4,11.2,132.0,204.0,1.19,266.3,0.0,3643.0,7.8,95.86699999999999,94.94833,-0.9186662597656152,0.9186662597656152,2021 Ferrari Roma
4.5,12.2,116.0,188.0,1.13,,0.0,3439.0,11.4,100.098,99.18328,-0.9147190551757802,0.9147190551757802,2010 Spyker C8 Aileron
3.4,11.3,130.0,208.0,1.15,265.0,0.0,3850.0,7.8,94.785,95.69597,0.9109686279296909,0.9109686279296909,2011 Ferrari 599 GTO
3.1,10.2,146.0,236.0,1.22,,0.0,3086.0,5.7,91.444,92.34394,0.8999407348632786,0.8999407348632786,2012 RUF CTR3 ClubSport
5.2,13.7,103.0,168.0,1.07,289.7,0.0,3352.0,17.5,105.707,104.81975,-0.8872520751953061,0.8872520751953061,2007 Nissan 350Z Nismo
4.9,13.7,106.0,146.0,0.93,311.1,0.0,3384.0,13.7,108.25200000000001,107.37239,-0.879609252929697,0.879609252929697,1967 Chevrolet Corvette C2 Stingray 427 Coupe
4.4,12.8,113.0,182.0,1.03,361.3,0.0,4439.0,12.4,105.979,105.099915,-0.8790854492187492,0.8790854492187492,2023 Chrysler 300C
5.8,14.3,98.0,122.0,0.96,311.7,0.0,3512.0,19.2,113.441,112.56699,-0.8740062866210963,0.8740062866210963,1971 Chevrolet Corvette C3 Coupe
3.3,10.6,140.0,248.0,1.31,251.0,0.0,3016.0,6.2,90.236,91.10678,0.8707810058593708,0.8707810058593708,2005 Saleen S7 Twin Turbo
4.1,12.5,113.0,190.0,1.22,281.4,0.0,2515.0,11.5,99.226,98.365685,-0.8603154907226553,0.8603154907226553,1965 Shelby Daytona Coupe
3.0,10.3,143.0,229.0,1.34,242.4,0.0,2379.0,5.8,90.39099999999999,89.545395,-0.8456051025390536,0.8456051025390536,1993 Jaguar XJ220S TWR
5.8,13.3,110.0,175.0,1.15,289.6,0.0,2336.0,13.4,101.837,102.67647,0.8394678955078092,0.8394678955078092,1962 Ferrari 250 GTO Series I
4.1,12.3,118.0,190.0,1.22,285.0,0.0,3704.0,9.8,99.793,98.95377,-0.8392265014648501,0.8392265014648501,2012 Aston Martin V12 Zagato
3.0,9.7,,273.0,,,0.0,2919.0,4.2,92.584,91.74707,-0.8369296875000032,0.8369296875000032,2009 SSC Ultimate Aero TT
5.3,13.5,104.0,145.0,1.03,293.3,0.0,3545.0,21.4,107.811,108.64537,0.8343704833984305,0.8343704833984305,1987 Buick Regal GNX
3.4,11.6,126.0,222.0,1.21,252.7,2.0,4067.0,8.6,95.944,95.11686,-0.8271405639648464,0.8271405639648464,2008 Lamborghini Reventon
2.7,9.9,161.0,278.0,1.33,245.0,0.0,2743.0,4.0,89.98400000000001,89.17002,-0.8139789428711026,0.8139789428711026,2014 Hennessey Venom GT
3.6,11.6,124.0,199.0,,,0.0,3150.0,9.2,96.81700000000001,97.62484,0.8078397827148365,0.8078397827148365,2007 Chevrolet Corvette C6 Z06
3.0,10.1,153.0,235.0,1.24,219.8,0.0,3944.0,5.1,89.672,88.87147,-0.8005324096679658,0.8005324096679658,2016 Zenvo ST1
5.2,13.3,106.0,180.0,1.13,275.0,0.0,3766.0,14.8,103.544,102.75804,-0.7859586181640594,0.7859586181640594,1988 Ferrari Testarossa
