0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
2.4,9.6,141.0,7.0,,,92.687,93.83401,1.1470072631835961,1.1470072631835961
2.6,9.9,145.0,5.4,1.96,194.8,80.886,82.03096,1.1449600830078168,1.1449600830078168
4.1,12.3,119.0,10.6,1.14,265.0,98.493,97.35097,-1.1420325927734325,1.1420325927734325
2.8,10.1,152.0,3.8,2.51,176.3,75.257,76.39178,1.1347770385742137,1.1347770385742137
5.4,14.1,102.0,16.7,0.74,459.9,112.388,111.25888,-1.1291193847656302,1.1291193847656302
3.3,11.3,126.0,8.7,1.32,252.8,92.937,94.047714,1.1107142333984399,1.1107142333984399
7.9,16.0,87.0,26.1,0.99,303.0,113.84700000000001,112.73734,-1.1096571655273522,1.1096571655273522
3.4,11.2,132.0,7.8,1.19,266.3,95.86699999999999,94.75812,-1.1088823242187402,1.1088823242187402
3.8,12.0,122.0,9.0,1.15,273.3,97.34,98.44652,1.106517944335934,1.106517944335934
4.4,12.8,113.0,12.1,1.12,278.4,102.087,100.98161,-1.1053868408203158,1.1053868408203158
2.7,10.3,146.0,5.1,2.2,190.5,79.828,78.72898,-1.0990189819335967,1.0990189819335967
6.2,13.9,103.0,19.0,0.93,327.3,109.458,108.362495,-1.0955045776367172,1.0955045776367172
3.1,9.6,165.0,3.8,1.67,215.0,82.09700000000001,81.00302,-1.0939787597656334,1.0939787597656334
8.9,16.7,83.0,49.1,1.01,299.5,116.211,115.11764,-1.0933623657226548,1.0933623657226548
6.0,13.9,107.0,15.6,1.0,324.6,107.87299999999999,106.783035,-1.089964721679678,1.089964721679678
4.9,12.3,117.0,11.3,1.21,275.0,97.782,98.857864,1.075864379882816,1.075864379882816
3.1,11.1,128.0,8.7,1.4,245.8,91.628,92.70315,1.0751478881835936,1.0751478881835936
4.2,12.6,113.0,11.9,1.01,359.5,105.255,106.32958,1.0745822143554733,1.0745822143554733
6.3,14.5,96.0,22.7,1.05,291.4,108.84100000000001,107.76771,-1.073292175292977,1.073292175292977
3.1,10.2,146.0,5.7,1.22,,91.444,92.50939,1.0653917846679661,1.0653917846679661
3.7,,,9.5,1.1,285.0,99.47399999999999,98.42141,-1.0525903930663958,1.0525903930663958
3.3,11.1,129.0,8.4,1.19,275.0,97.025,95.97537,-1.0496276855468807,1.0496276855468807
3.0,10.5,138.0,6.4,1.29,249.0,92.307,91.26232,-1.0446785278320334,1.0446785278320334
2.5,10.0,150.0,4.5,1.67,216.4,83.269,82.226,-1.043002075195318,1.043002075195318
5.8,14.3,99.0,18.7,0.92,345.2,112.352,111.32086,-1.0311381835937539,1.0311381835937539
3.5,11.5,126.0,9.5,1.15,269.3,97.838,96.81065,-1.0273463134765564,1.0273463134765564
6.5,14.2,100.0,21.3,0.88,392.9,112.56700000000001,111.54226,-1.0247407836914135,1.0247407836914135
3.7,11.8,125.0,9.0,0.94,297.0,101.725,100.70721,-1.0177932739257756,1.0177932739257756
3.4,11.7,130.0,7.2,1.74,245.0,90.529,91.54083,1.0118325195312536,1.0118325195312536
6.6,14.6,97.0,16.7,0.93,330.2,111.997,110.98614,-1.0108626098632811,1.0108626098632811
3.7,11.7,125.0,8.6,1.28,261.1,96.993,95.99457,-0.998432128906245,0.998432128906245
